mmsi,vessel_proximity,timestamp
538008084,"[564654000, 565761000, 352656000, 529123000]",2023-03-19 23:30:00+00
563014650,"[563078430, 564654000]",2023-03-05 16:30:00+00
564780000,"[563078430, 565761000]",2023-03-07 20:30:00+00
529123000,"[518998309, 538008084, 352656000, 232345740]",2023-03-17 02:30:00+00
352656000,"[563014650, 529123000, 564780000]",2023-03-05 13:30:00+00
352656000,"[232345740, 218719092, 518998309, 563078430, 564654000]",2023-03-22 10:30:00+00
563014650,"[352656000, 563078430]",2023-03-13 20:30:00+00
563014650,"[352656000, 564654000]",2023-03-06 02:30:00+00
564654000,"[538008064, 232345740, 352656000, 564780000]",2023-03-16 13:30:00+00
565761000,"[898998797, 875832716, 529123000, 518998309, 563014650]",2023-03-16 16:30:00+00
565761000,"[564780000, 352656000]",2023-03-09 23:30:00+00
564780000,"[538008064, 563014650, 352656000, 529123000]",2023-03-19 21:30:00+00
563014650,[529123000],2023-03-14 01:30:00+00
538008084,"[529123000, 898998797, 232006548, 232345740, 563078430]",2023-03-17 15:30:00+00
529123000,[563014650],2023-03-04 23:30:00+00
875832716,"[232006548, 565761000, 563014650, 218719092]",2023-03-22 17:30:00+00
563014650,[352656000],2023-03-11 03:30:00+00
563014650,"[529123000, 218719092, 564654000, 352656000, 563078430]",2023-03-22 09:30:00+00
564780000,"[529123000, 538008084]",2023-03-20 11:30:00+00
563014650,"[538008064, 563078430, 538008084]",2023-03-20 05:30:00+00
518998309,"[218719092, 564654000, 232345740, 564780000]",2023-03-21 18:30:00+00
538008084,"[563078430, 538008064, 518998309, 898998797]",2023-03-18 14:30:00+00
352656000,"[518998309, 563014650, 564654000, 538008084]",2023-03-20 02:30:00+00
564654000,"[352656000, 529123000]",2023-03-07 01:30:00+00
565761000,"[565761000, 563078430, 518998309, 538008084]",2023-03-19 21:30:00+00
564780000,[352656000],2023-03-09 04:30:00+00
518998309,"[352656000, 875832716, 232006548, 564780000, 529123000]",2023-03-16 11:30:00+00
232006548,"[529123000, 232345740, 875832716, 564654000, 218719092, 889799564]",2023-03-15 03:30:00+00
563078430,"[564780000, 232345740, 875832716, 232006548, 529123000]",2023-03-17 10:30:00+00
898998797,"[563014650, 538008064, 232345740, 232006548, 518998309]",2023-03-17 03:30:00+00
563014650,"[563078430, 565761000]",2023-03-23 07:30:00+00
352656000,"[564780000, 352002300]",2023-03-12 21:30:00+00
518998309,[],2023-03-18 22:29:53+00
564780000,"[564780000, 563078430, 232006548, 232345740, 352656000]",2023-03-16 16:30:00+00
563078430,"[564780000, 563014650, 565761000, 898998797]",2023-03-17 12:30:00+00
563014650,[563078430],2023-03-09 13:30:00+00
563078430,"[538008084, 538008064, 898998797, 529123000, 518998309]",2023-03-18 07:30:00+00
563078430,"[529123000, 563014650, 875832716, 538008064, 898998797]",2023-03-17 07:30:00+00
564780000,"[563078430, 564654000, 898998797, 563014650, 518998309]",2023-03-16 14:30:00+00
563014650,"[563014650, 563078430]",2023-03-09 23:30:00+00
352656000,[563078430],2023-03-11 23:30:00+00
564780000,"[898998797, 538008064, 518998309, 232345740, 538008084]",2023-03-17 23:30:00+00
352656000,"[564780000, 538008064, 565761000]",2023-03-14 13:30:00+00
564654000,"[232006548, 565761000, 352656000, 232345740]",2023-03-22 15:30:00+00
563014650,"[529123000, 352656000, 875832716, 232345740, 889799564]",2023-03-15 23:30:00+00
564780000,"[564780000, 529123000, 538008064, 563078430]",2023-03-20 02:30:00+00
563078430,"[518998309, 564780000]",2023-03-20 16:30:00+00
565761000,"[563014650, 563078430]",2023-03-10 05:30:00+00
563078430,"[352656000, 565761000]",2023-03-12 04:30:00+00
232006548,"[529123000, 538008064, 564654000, 875832716]",2023-03-16 04:30:00+00
564654000,"[232006548, 563078430, 232345740, 538008084, 352656000]",2023-03-17 20:30:00+00
538008084,"[232345740, 352656000, 564780000, 563014650, 518998309]",2023-03-18 06:30:00+00
565761000,"[538008064, 518998309, 529123000, 563078430]",2023-03-17 00:30:00+00
563078430,"[563014650, 564654000]",2023-03-05 17:30:00+00
564780000,"[564780000, 352656000, 564654000, 563078430, 518998309]",2023-03-22 17:30:00+00
565761000,"[529123000, 563078430, 352656000, 218719092]",2023-03-14 19:30:00+00
538008084,"[538008064, 564780000, 529123000]",2023-03-19 17:30:00+00
563078430,"[529123000, 538008064, 564780000]",2023-03-19 14:30:00+00
232345740,"[352656000, 218719092, 518998309, 875832716]",2023-03-21 21:30:00+00
352656000,[564654000],2023-03-06 19:30:00+00
232006548,"[232006548, 352656000, 564780000, 232345740, 563014650]",2023-03-18 07:30:00+00
232345740,"[518998309, 898998797, 565761000, 564654000]",2023-03-17 22:30:00+00
538008084,"[538008064, 352656000, 564780000]",2023-03-20 07:30:00+00
538008084,"[538008084, 538008064, 898998797, 529123000, 518998309]",2023-03-18 07:30:00+00
563014650,"[529123000, 232345740, 875832716, 565761000, 898998797, 538008084]",2023-03-17 11:30:00+00
